Date : 2022-12-15 13:38:28
Directory : /home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend
Total : 180 files,  51702 codes, 2732 comments, 7921 blanks, all 62355 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        109 |     23,295 |      2,088 |      2,576 |     27,959 |
| CSS                |          9 |     14,649 |        329 |      3,990 |     18,968 |
| JSON               |         22 |      5,995 |          0 |          3 |      5,998 |
| TypeScript         |         23 |      4,319 |        159 |        651 |      5,129 |
| SCSS               |         12 |      3,177 |         76 |        651 |      3,904 |
| HTML               |          1 |        190 |         26 |          7 |        223 |
| Markdown           |          2 |         43 |          0 |         35 |         78 |
| XML                |          1 |         23 |          0 |          0 |         23 |
| JSON with Comments |          1 |         11 |         54 |          8 |         73 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        180 |     51,702 |      2,732 |      7,921 |     62,355 |
| public                                                                                                                 |         30 |     18,033 |        436 |      4,712 |     23,181 |
| public/css                                                                                                             |          6 |     10,688 |        237 |      3,384 |     14,309 |
| public/fonts                                                                                                           |          1 |         23 |          0 |          0 |         23 |
| public/js                                                                                                              |          8 |        425 |         30 |        132 |        587 |
| public/sass                                                                                                            |         13 |      6,682 |        143 |      1,188 |      8,013 |
| server                                                                                                                 |         34 |      7,983 |        213 |        662 |      8,858 |
| server/src                                                                                                             |         30 |      7,898 |        159 |        651 |      8,708 |
| server/src/abis                                                                                                        |          5 |      3,577 |          0 |          0 |      3,577 |
| server/src/api                                                                                                         |         20 |      4,211 |        155 |        630 |      4,996 |
| server/src/api/v1                                                                                                      |         20 |      4,211 |        155 |        630 |      4,996 |
| server/src/api/v1/controllers                                                                                          |          3 |      2,703 |         95 |        430 |      3,228 |
| server/src/api/v1/helpers                                                                                              |          3 |        653 |         34 |        112 |        799 |
| server/src/api/v1/interfaces                                                                                           |          1 |          0 |          1 |          1 |          2 |
| server/src/api/v1/listners                                                                                             |          4 |         93 |          5 |         14 |        112 |
| server/src/api/v1/middlewares                                                                                          |          2 |         23 |          0 |          4 |         27 |
| server/src/api/v1/models                                                                                               |          4 |        540 |          7 |         29 |        576 |
| server/src/api/v1/routes                                                                                               |          1 |         14 |          2 |          7 |         23 |
| server/src/api/v1/taskScheduler                                                                                        |          1 |         81 |          7 |         16 |        104 |
| server/src/api/v1/validations                                                                                          |          1 |        104 |          4 |         17 |        125 |
| server/src/config                                                                                                      |          4 |         91 |          0 |         13 |        104 |
| src                                                                                                                    |        112 |     25,528 |      2,083 |      2,512 |     30,123 |
| src/abis                                                                                                               |         11 |      2,235 |          0 |          0 |      2,235 |
| src/assets                                                                                                             |          2 |        456 |         25 |         69 |        550 |
| src/components                                                                                                         |         59 |     14,470 |        896 |      1,531 |     16,897 |
| src/components/Header                                                                                                  |          3 |        553 |         42 |         55 |        650 |
| src/components/LedgerHistory                                                                                           |          4 |        511 |         69 |         67 |        647 |
| src/components/LedgerHistory/status                                                                                    |          2 |        268 |         67 |         32 |        367 |
| src/components/LiquidityProvider                                                                                       |          4 |      2,429 |         48 |        235 |      2,712 |
| src/components/Navigations                                                                                             |          1 |        256 |         37 |          6 |        299 |
| src/components/free-listing                                                                                            |         13 |      3,797 |        116 |        423 |      4,336 |
| src/components/popups                                                                                                  |          9 |        995 |         72 |        195 |      1,262 |
| src/components/sections                                                                                                |          9 |        907 |          2 |         19 |        928 |
| src/components/tabs                                                                                                    |          9 |      3,880 |        307 |        414 |      4,601 |
| src/components/tabs/bridge-tokens                                                                                      |          4 |      2,147 |         78 |        236 |      2,461 |
| src/components/tabs/native-tokens                                                                                      |          4 |      1,580 |        229 |        163 |      1,972 |
| src/config                                                                                                             |          4 |        337 |        202 |         85 |        624 |
| src/context                                                                                                            |          1 |        174 |          1 |         26 |        201 |
| src/helper                                                                                                             |         16 |      2,395 |        127 |        451 |      2,973 |
| src/layouts                                                                                                            |          1 |         13 |          0 |          1 |         14 |
| src/pages                                                                                                              |         12 |      5,284 |        820 |        318 |      6,422 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                               | language           | code       | comment    | blank      | total      |
